|archetype|archetypeURL|count
370|Masked HERO|Masked%20HERO|0
371|Master Rule 5|Master%20Rule%205|0
372|Materiactor|Materiactor|0
373|Mathmech|Mathmech|0
374|"Mayakashi
Shiranui"|Mayakashi%0AShiranui|0
375|Mayakashi|Mayakashi|0
376|Mecha Phantom Beast|Mecha%20Phantom%20Beast|0
377|Megalith|Megalith|0
378|Mekk-Knight|Mekk-Knight|0
379|Meklord|Meklord|0
380|Melffy|Melffy|0
381|Melodious|Melodious|0
382|Memento|Memento|0
383|Mermail|Mermail|0
384|Meta|Meta|0
385|Metalfoes|Metalfoes|0
386|Metalmorph|Metalmorph|0
387|Metaphys|Metaphys|0
388|Mikanko|Mikanko|0
389|Millennium|Millennium|0
390|Mimighoul|Mimighoul|0
391|Mirror Trap|Mirror%20Trap|0
392|Mist Valley|Mist%20Valley|0
393|Mokey Mokey|Mokey%20Mokey|0
394|Monarch|Monarch|0
395|Morganite|Morganite|0
396|Morphtronic|Morphtronic|0
397|Mulcharmy|Mulcharmy|0
398|Mystical Beast Of The For|Mystical%20Beast%20Of%20The%20For|0
399|Mystical Beast Of The Forest|Mystical%20Beast%20Of%20The%20Forest|0
400|Mythical Beast|Mythical%20Beast|0
401|Myutant|Myutant|0
402|Naturia|Naturia|0
403|Nekroz|Nekroz|0
404|Nemeses|Nemeses|0
405|Nemesis|Nemesis|0
406|Nemleria|Nemleria|0
407|Nemurelia|Nemurelia|0
408|Neo Space|Neo%20Space|0
409|Neo-Spacian|Neo-Spacian|0
410|Nephthys|Nephthys|0
411|Nimble|Nimble|0
412|Ninja|Ninja|0
413|Ninjitsu Art|Ninjitsu%20Art|0
414|Noble Arms|Noble%20Arms|0
415|Noble Knight|Noble%20Knight|0
416|Nordic|Nordic|0
417|Nouvelles|Nouvelles|0
418|Nouvellez|Nouvellez|0
419|Number|Number|0
420|Numeron|Numeron|0
421|Odd-Eyes|Odd-Eyes|0
422|Of Rituals|Of%20Rituals|0
423|Ogdoadic|Ogdoadic|0
424|Ojama|Ojama|0
425|Onomat|Onomat|0
426|Orcust|Orcust|0
427|OTK|OTK|0
428|Overlay|Overlay|0
429|P.U.N.K.|P.U.N.K.|0
430|Paladins Of Dragons|Paladins%20Of%20Dragons|0
431|Paleozoic|Paleozoic|0
432|Parasite|Parasite|0
433|Parody|Parody|0
434|Parshath|Parshath|0
435|Pendulum|Pendulum|0
436|Pendulum Dragon|Pendulum%20Dragon|0
437|Penguin|Penguin|0
438|Performage|Performage|0
439|Performapal|Performapal|0
440|Phantasm|Phantasm|0
441|Phantasm Spiral|Phantasm%20Spiral|0
442|Phantom Knight|Phantom%20Knight|0
443|Phantom Knights|Phantom%20Knights|0
444|Phantom Rage|Phantom%20Rage|0
445|Photon|Photon|0
446|Plunder Patroll|Plunder%20Patroll|0
447|Polymerization|Polymerization|0
448|Possessed|Possessed|0
449|Potan|Potan|0
450|Power Tool|Power%20Tool|0
451|Prank-Kids|Prank-Kids|0
452|Predap|Predap|0
453|Predaplant|Predaplant|0
454|Prediction Princess|Prediction%20Princess|0
455|Priestess|Priestess|0
456|Primoredial|Primoredial|0
457|Prophecy|Prophecy|0
458|PSY-Frame|PSY-Frame|0
459|Puppet|Puppet|0
460|Purrely|Purrely|0
461|Qli|Qli|0
462|Ragnaraika|Ragnaraika|0
463|Raidraptor|Raidraptor|0
464|Raika|Raika|0
465|Rainbow Bridge|Rainbow%20Bridge|0
466|Raizeol|Raizeol|0
467|Rank-Up-Magic|Rank-Up-Magic|0
468|Recipe|Recipe|0
469|Red|Red|0
470|Red-Eyes|Red-Eyes|0
471|Relinquished|Relinquished|0
472|Reptilianne|Reptilianne|0
473|Rescue Squad|Rescue%20Squad|0
474|Rescue-ACE|Rescue-ACE|0
475|Resonator|Resonator|0
476|Rikka|Rikka|0
477|Risebell|Risebell|0
478|Ritual|Ritual|0
479|Ritual Beast|Ritual%20Beast|0
480|Rituals|Rituals|0
481|Roid|Roid|0
482|Rokket|Rokket|0
483|Roland|Roland|0
484|Rose|Rose|0
485|Rose Dragon|Rose%20Dragon|0
486|Runick|Runick|0
487|Rush Duel|Rush%20Duel|0
488|Ryu-Ge|Ryu-Ge|0
489|Ryzeal|Ryzeal|0
490|S-Force|S-Force|0
491|Saber|Saber|0
492|Sacred Beast|Sacred%20Beast|0
493|Salamandra|Salamandra|0
494|Salamangreat|Salamangreat|0
495|Sangen|Sangen|0
496|Satellarknight|Satellarknight|0
497|Scareclaw|Scareclaw|0
498|Scrap|Scrap|0
499|Scrap-Iron|Scrap-Iron|0
500|Sea Stealth|Sea%20Stealth|0
501|Secret Six Samurai|Secret%20Six%20Samurai|0
502|Senka|Senka|0
503|Sennen|Sennen|0
504|Seven Emperors|Seven%20Emperors|0
505|Seventh|Seventh|0
506|Shaddoll|Shaddoll|0
507|Shark|Shark|0
508|Shining Sarcophagus|Shining%20Sarcophagus|0
509|Shinobird|Shinobird|0
510|Shiranui|Shiranui|0
511|Signature Move|Signature%20Move|0
512|Silenforc|Silenforc|0
513|Silent Magician|Silent%20Magician|0
514|Silent Swordsman|Silent%20Swordsman|0
515|Simorgh|Simorgh|0
516|Sinful Spoils|Sinful%20Spoils|0
517|Six Samurai|Six%20Samurai|0
518|Six Strike|Six%20Strike|0
519|Skilled Magician|Skilled%20Magician|0
520|Skull Servant|Skull%20Servant|0
521|Sky Scourge|Sky%20Scourge|0
522|Sky Striker|Sky%20Striker|0
523|Slime|Slime|0
524|Snake-Eye|Snake-Eye|0
525|Solemn|Solemn|0
526|Solfachord|Solfachord|0
527|Speed Duel|Speed%20Duel|0
528|Speedroid|Speedroid|0
529|Spellbook|Spellbook|0
530|Sphinx|Sphinx|0
531|Spider|Spider|0
532|Spirit Message|Spirit%20Message|0
533|Spiritual Art|Spiritual%20Art|0
534|Sprigguns|Sprigguns|0
535|Spright|Spright|0
536|Springans|Springans|0
537|Spyral|Spyral|0
538|Stall|Stall|0
539|Star|Star|0
540|Star Seraph|Star%20Seraph|0
541|Stardust|Stardust|0
542|Starliege|Starliege|0
543|Starry Knight|Starry%20Knight|0
544|Steelswarm|Steelswarm|0
545|Stellarknight|Stellarknight|0
546|Structure Deck|Structure%20Deck|0
547|Subterror|Subterror|0
548|Sunavalon|Sunavalon|0
549|Sunseed|Sunseed|0
550|Sunvine|Sunvine|0
551|Super Defense Robot|Super%20Defense%20Robot|0
552|Super Quant|Super%20Quant|0
553|Superheavy|Superheavy|0
554|Superheavy Samurai|Superheavy%20Samurai|0
555|Supreme King|Supreme%20King|0
556|Swarm Of|Swarm%20Of|0
557|Swordsoul|Swordsoul|0
558|Sylvan|Sylvan|0
559|Symphonic|Symphonic|0
560|Symphonic Warrior|Symphonic%20Warrior|0
561|Synchro|Synchro|0
562|Synchron|Synchron|0
563|T.G.|T.G.|0
564|Tainted Treasure|Tainted%20Treasure|0
565|Tearlaments|Tearlaments|0
566|Tellarknight|Tellarknight|0
567|Tenpai Dragon|Tenpai%20Dragon|0
568|Tenyi|Tenyi|0
569|The Agent|The%20Agent|0
570|The Sanctuary In The Sky|The%20Sanctuary%20In%20The%20Sky|0
571|The Weather|The%20Weather|0
572|Therion|Therion|0
573|Thunder Dragon|Thunder%20Dragon|0
574|Time Thief|Time%20Thief|0
575|Timelord|Timelord|0
576|Tindangle|Tindangle|0
577|Tistina|Tistina|0
578|Token|Token|0
579|Toon|Toon|0
580|Toon Chaos|Toon%20Chaos|0
581|Toy|Toy|0
582|Train|Train|0
583|Transcendosaurus|Transcendosaurus|0
584|Transcendrake|Transcendrake|0
585|Trap|Trap|0
586|Trap Hole|Trap%20Hole|0
587|Trap Monster|Trap%20Monster|0
588|Traptrix|Traptrix|0
589|Tri-Brigade|Tri-Brigade|0
590|Triamid|Triamid|0
591|Tribute|Tribute|0
592|Trickstar|Trickstar|0
593|True Draco|True%20Draco|0
594|True King|True%20King|0
595|U.A.|U.A.|0
596|Umbral Horror|Umbral%20Horror|0
597|Umi|Umi|0
598|Unchained|Unchained|0
599|Underworld|Underworld|0
600|Uniform Nomenclature|Uniform%20Nomenclature|0
601|Ursarctic|Ursarctic|0
602|Utopia|Utopia|0
603|Utopic|Utopic|0
604|Vaalmonica|Vaalmonica|0
605|Valkyrie|Valkyrie|0
606|Valmonica|Valmonica|0
607|Vampire|Vampire|0
608|Vanquish Soul|Vanquish%20Soul|0
609|Vassal|Vassal|0
610|Vaylantz|Vaylantz|0
611|Veda|Veda|0
612|Vendread|Vendread|0
613|Venom|Venom|0
614|Vernusylph|Vernusylph|0
615|Virtual World|Virtual%20World|0
616|Visas|Visas|0
617|Vision HERO|Vision%20HERO|0
618|Voiceless Voice|Voiceless%20Voice|0
619|Void|Void|0
620|Volcanic|Volcanic|0
621|Vylon|Vylon|0
622|War Rock|War%20Rock|0
623|Warrior|Warrior|0
624|Watt|Watt|0
625|Weather Painter|Weather%20Painter|0
626|Wedju|Wedju|0
627|White|White|0
628|White Forest|White%20Forest|0
629|White Woods|White%20Woods|0
630|Wicked God|Wicked%20God|0
631|Wight|Wight|0
632|Wind-Up|Wind-Up|0
633|Windwitch|Windwitch|0
634|Witchcrafter|Witchcrafter|0
635|With Eyes Of Blue|With%20Eyes%20Of%20Blue|0
636|World Chalice|World%20Chalice|0
637|World Championship|World%20Championship|0
638|World Legacy|World%20Legacy|0
639|Worm|Worm|0
640|X-Saber|X-Saber|0
641|Xiangjian|Xiangjian|0
642|Xyz|Xyz|0
643|XYZ Rank|XYZ%20Rank|0
644|Yang Zing|Yang%20Zing|0
645|Yosenju|Yosenju|0
646|Yubel|Yubel|0
647|Yugioh|Yugioh|0
648|Zefra|Zefra|0
649|Zera|Zera|0
650|ZEXAL|ZEXAL|0
651|Zombie|Zombie|0
652|Zoodiac|Zoodiac|0
