,name,deck,type,code,imgSource,count,apperances,avgCopies,percOfDecks
98,Forbidden Droplet,side_deck,Spell Card,24299458,https://images.ygoprodeck.com/images/cards_small/24299458.jpg,33,14,2.36,0.23
99,Cosmic Cyclone,side_deck,Spell Card,8267140,https://images.ygoprodeck.com/images/cards_small/8267140.jpg,64,26,2.46,0.43
100,Change of Heart,side_deck,Spell Card,4031928,https://images.ygoprodeck.com/images/cards_small/4031928.jpg,27,22,1.23,0.37
101,Evenly Matched,side_deck,Trap Card,15693423,https://images.ygoprodeck.com/images/cards_small/15693423.jpg,13,5,2.6,0.08
102,REINFORCE!,side_deck,Trap Card,71948047,https://images.ygoprodeck.com/images/cards_small/71948047.jpg,1,1,1.0,0.02
103,Fantastical Dragon Phantazmay,side_deck,Effect Monster,78661339,https://images.ygoprodeck.com/images/cards_small/78661339.jpg,8,4,2.0,0.07
104,"Nibiru, the Primal Being",side_deck,Effect Monster,27204311,https://images.ygoprodeck.com/images/cards_small/27204311.jpg,47,26,1.81,0.43
105,Red Reboot,side_deck,Trap Card,23002292,https://images.ygoprodeck.com/images/cards_small/23002292.jpg,2,2,1.0,0.03
106,Heavy Storm,side_deck,Spell Card,19613556,https://images.ygoprodeck.com/images/cards_small/19613556.jpg,8,8,1.0,0.13
107,Sinful Spoils of Betrayal - Silvera,side_deck,Trap Card,38511382,https://images.ygoprodeck.com/images/cards_small/38511382.jpg,7,7,1.0,0.12
108,Sinful Spoils of Subversion - Snake-Eye,side_deck,Spell Card,24081957,https://images.ygoprodeck.com/images/cards_small/24081957.jpg,6,6,1.0,0.1
109,Dramatic Snake-Eye Chase,side_deck,Spell Card,26700718,https://images.ygoprodeck.com/images/cards_small/26700718.jpg,5,5,1.0,0.08
110,Bystial Druiswurm,side_deck,Effect Monster,6637331,https://images.ygoprodeck.com/images/cards_small/6637331.jpg,25,19,1.32,0.32
111,Bystial Magnamhut,side_deck,Effect Monster,33854624,https://images.ygoprodeck.com/images/cards_small/33854624.jpg,20,20,1.0,0.33
112,Summon Limit,side_deck,Trap Card,23516703,https://images.ygoprodeck.com/images/cards_small/23516703.jpg,28,10,2.8,0.17
113,Harpie's Feather Duster,side_deck,Spell Card,18144507,https://images.ygoprodeck.com/images/cards_small/18144507.jpg,35,35,1.0,0.58
114,Skill Drain,side_deck,Trap Card,82732705,https://images.ygoprodeck.com/images/cards_small/82732705.jpg,93,35,2.66,0.58
115,Droll & Lock Bird,side_deck,Effect Monster,94145021,https://images.ygoprodeck.com/images/cards_small/94145021.jpg,12,7,1.71,0.12
116,Lightning Storm,side_deck,Spell Card,14532163,https://images.ygoprodeck.com/images/cards_small/14532163.jpg,44,23,1.91,0.38
117,Dinowrestler Pankratops,side_deck,Effect Monster,82385847,https://images.ygoprodeck.com/images/cards_small/82385847.jpg,6,5,1.2,0.08
118,PSY-Framegear Gamma,side_deck,Tuner Monster,38814750,https://images.ygoprodeck.com/images/cards_small/38814750.jpg,8,8,1.0,0.13
119,PSY-Framegear Delta,side_deck,Tuner Monster,74203495,https://images.ygoprodeck.com/images/cards_small/74203495.jpg,14,8,1.75,0.13
120,PSY-Frame Driver,side_deck,Normal Monster,49036338,https://images.ygoprodeck.com/images/cards_small/49036338.jpg,8,8,1.0,0.13
121,Crossout Designator,side_deck,Spell Card,65681983,https://images.ygoprodeck.com/images/cards_small/65681983.jpg,15,7,2.14,0.12
122,Ghost Ogre & Snow Rabbit,side_deck,Tuner Monster,59438930,https://images.ygoprodeck.com/images/cards_small/59438930.jpg,6,3,2.0,0.05
123,Ghost Mourner & Moonlit Chill,side_deck,Tuner Monster,52038441,https://images.ygoprodeck.com/images/cards_small/52038441.jpg,4,2,2.0,0.03
124,Kurikara Divincarnate,side_deck,Effect Monster,35405755,https://images.ygoprodeck.com/images/cards_small/35405755.jpg,4,4,1.0,0.07
125,Twin Twisters,side_deck,Spell Card,43898403,https://images.ygoprodeck.com/images/cards_small/43898403.jpg,6,3,2.0,0.05
126,Anti-Spell Fragrance,side_deck,Trap Card,58921041,https://images.ygoprodeck.com/images/cards_small/58921041.jpg,18,16,1.12,0.27
127,Triple Tactics Talent,side_deck,Spell Card,25311006,https://images.ygoprodeck.com/images/cards_small/25311006.jpg,18,9,2.0,0.15
128,Called by the Grave,side_deck,Spell Card,24224830,https://images.ygoprodeck.com/images/cards_small/24224830.jpg,4,4,1.0,0.07
129,Mind Control,side_deck,Spell Card,37520316,https://images.ygoprodeck.com/images/cards_small/37520316.jpg,28,12,2.33,0.2
130,Ghost Belle & Haunted Mansion,side_deck,Tuner Monster,73642297,https://images.ygoprodeck.com/images/cards_small/73642297.jpg,32,13,2.46,0.22
131,Kashtira Fenrir,side_deck,Effect Monster,32909498,https://images.ygoprodeck.com/images/cards_small/32909498.jpg,7,5,1.4,0.08
132,D.D. Crow,side_deck,Effect Monster,24508238,https://images.ygoprodeck.com/images/cards_small/24508238.jpg,13,6,2.17,0.1
133,Book of Eclipse,side_deck,Spell Card,35480699,https://images.ygoprodeck.com/images/cards_small/35480699.jpg,3,1,3.0,0.02
134,Triple Tactics Thrust,side_deck,Spell Card,35269904,https://images.ygoprodeck.com/images/cards_small/35269904.jpg,14,9,1.56,0.15
135,Solemn Scolding,side_deck,Trap Card,92512625,https://images.ygoprodeck.com/images/cards_small/92512625.jpg,4,2,2.0,0.03
136,Ash Blossom & Joyous Spring,side_deck,Tuner Monster,14558128,https://images.ygoprodeck.com/images/cards_small/14558128.jpg,12,4,3.0,0.07
137,Ghost Sister & Spooky Dogwood,side_deck,Tuner Monster,60643554,https://images.ygoprodeck.com/images/cards_small/60643554.jpg,6,2,3.0,0.03
138,Effect Veiler,side_deck,Tuner Monster,97268402,https://images.ygoprodeck.com/images/cards_small/97268402.jpg,2,2,1.0,0.03
139,Dimensional Barrier,side_deck,Trap Card,83326048,https://images.ygoprodeck.com/images/cards_small/83326048.jpg,40,19,2.11,0.32
140,"Retaliating ""C""",side_deck,Effect Monster,46502744,https://images.ygoprodeck.com/images/cards_small/46502744.jpg,2,1,2.0,0.02
141,Accesscode Talker,side_deck,Link Monster,86066372,https://images.ygoprodeck.com/images/cards_small/86066372.jpg,1,1,1.0,0.02
142,Rise to Full Height,side_deck,Trap Card,19254117,https://images.ygoprodeck.com/images/cards_small/19254117.jpg,1,1,1.0,0.02
143,Rescue-ACE Impulse,side_deck,Effect Monster,38339996,https://images.ygoprodeck.com/images/cards_small/38339996.jpg,1,1,1.0,0.02
144,Infinite Impermanence,side_deck,Trap Card,10045474,https://images.ygoprodeck.com/images/cards_small/10045474.jpg,1,1,1.0,0.02
145,Kashtira Unicorn,side_deck,Effect Monster,68304193,https://images.ygoprodeck.com/images/cards_small/68304193.jpg,1,1,1.0,0.02
146,Kashtira Birth,side_deck,Spell Card,69540484,https://images.ygoprodeck.com/images/cards_small/69540484.jpg,1,1,1.0,0.02
